Scenario,DLP,1,Scenario 1.0 (Psetup1),,Set-up Disneyland Hotel,,
Sub,DLP,1.1,Sub Scenario 1.1,,,,
Req,DLP,1.1,1.02,Assets,"Provide user with the ability to manage assets (create/duplicate, search, display, update, deactivate/reactivate based on asset features, attributes and characteristics (i.e. asset name, asset type, asset category, etc).",Product Management,Asset Management
Req,DLP,1.1,1.03,Product,"Provide an interface that allows for a product and its details (ex.: attributes, categories, classifications, policies) to be created in multiple languages.",Product Management,Product Set-up
Req,DLP,1.1,1.07,Product,"Provide the ability to assign and unassign product attributes, categories, classifications, and features to products for product management and fulfillment purposes.",Product Management,Product Set-up
Req,DLP,1.1,3.11,Party,Provide the user the ability to associate a sales contract to an existing product.,Party Management,
Scenario,DLP,2,Scenario 2.0 (PSetup2),,Set-up Rooms at Disneyland hotel,,
Sub,DLP,2.1,Sub-Scenario 2.1,,,,
Req,DLP,2.1,1.01,Assets,"Provide an interface that allows for an asset to be created in multiple languages. (Ex.: resort, room)",Product Management,Asset Management
Req,DLP,2.1,1.02,Assets,"Provide user with the ability to manage assets (create/duplicate, search, display, update, deactivate/reactivate based on asset features, attributes and characteristics (i.e. asset name, asset type, asset category, etc).",Product Management,Asset Management
Req,DLP,2.1,1.06,Product,Provide the ability to create and manage a group of products (ex.: packages) to be created in multiple languages.,Product Management,Product Set-up
Req,DLP,2.1,1.15,Product,Provide the ability to associate a product to one or more assets to manage availability needs of an order.,Product Management,Product Set-up
Req,DLP,2.1,1.16,Product,"Provide an interface that allows for a user the ability to search, view, update and remove product to asset associations.",Product Management,Product Set-up
Req,DLP,2.1,1.43,Inventory,Provide the user with the ability to manually define physical count rules for an individual inventory item or a group of inventory items.,Inventory Management,Inventory Set-up
Req,DLP,2.1,3.11,Party,Provide the user the ability to associate a sales contract to an existing product.,Party Management,
Scenario,DLR,3.0,Scenario 3.0 (DPBMan1),,"Manual Product Load of Room, tickets, package and agency",,
Sub,DLR,3.1,Sub-Scenario 3.1 (DPBMan1.1),,"Create a Staybridge 1 bedroom room, 1 day park hopper with souvenir option, 4th night free package including compulsary components and optional ART passes components from pre-load and direct consumer agency",,
Req,DLR,3.1,1.02,Assets,"Provide user with the ability to manage assets (create/duplicate, search, display, update, deactivate/reactivate based on asset features, attributes and characteristics (i.e. asset name, asset type, asset category, etc).",Product Management,Asset Management
Req,DLR,3.1,1.04,Product,"Provide user with the ability to manage products (create/duplicate, search, display, update, deactivate/reactivate based on product features, attributes and characteristics (i.e. product name, product type, product category, etc).",Product Management,Product Set-up
Req,DLR,3.1,1.07,Product,"Provide the ability to assign and unassign product attributes, categories, classifications, and features to products for product management and fulfillment purposes.",Product Management,Product Set-up
Req,DLR,3.1,1.14,Product,"Provide an interface that allows for a product to be located, updated and saved.",Order Management,Product Set-up
Req,DLR,3.1,1.15,Product,Provide the ability to associate a product to one or more assets to manage availability needs of an order.,Product Management,Product Set-up
Req,DLR,3.1,1.17,Product,"Provide an interface that allows for the user to create and manage sales date definitions for a single product supporting continuous sales dates, gaps between sales dates and preventing disparate same date definitions.",Product Management,Product Sales Dates
Req,DLR,3.1,1.20,Product,"Provide an interface that allows for the user to create and manage fulfillment date definitions for a single product supporting continuous fulfillment dates, gaps between sales dates and preventing disparate same date definitions.",Product Management,Product Fulfillment Dates
Req,DLR,3.1,1.23,Product,Provide an interface that allows a user to locate and delete a fulfillment date for a specific product.,Product Management,Product Fulfillment Dates
Req,DLR,3.1,1.24,Product,"Provide an interface that allows the user to create and administer business rules for accounting, pricing and sales order management activities.",Product Management,Business Rules
Req,DLR,3.1,1.25,Product,"Provide the ability to administer accounting-based business rules to include configuration, deposit, payment and pricing set up.",Product Management,Business Rules
Req,DLR,3.1,1.33,Product,"Provide the ability to create a product offering for a single stand-alone product, a package of multiple products and procured products.",Product Management,Product Offer
Req,DLR,3.1,1.34,Pricing,"Provide the ability to dynamically determine the price of a product using the product's dimensions (such as, but not limited to, buyer type, seller type, sales dates and fulfillment dates).",Order Management,Pricing
Req,DLR,3.1,1.50,Inventory,Provide the user with the ability to manually define inventory availability rules for an individual inventory item or a group of inventory items.,Inventory Management,Inventory Configuration
Req,DLR,3.1,1.67,Inventory,"Provide the user the ability to audit product setup (package, inventory, pricing, etc.)",Product Management,Product Set-up
Req,DLR,3.1,1.69,Inventory,"Provide the ability to set up and manage country, province, territory and state codes in accordance to existing structure and/or ISO Country standards to support downstream processes.",Product Management,Globalization
Req,DLR,3.1,1.72,Product Pricing,Ability to Setup Declarative Rate Plan,Product Management,Product Price Configuration
Req,DLR,3.1,1.76,Product Pricing,Define Product Cost: Ability to price based on a book by date for special hotel promotions as well as travel begin/end dates,Product Management,Product Price Planning
Req,DLR,3.1,1.80,Product Definition,Ability to Assign Ticket Group to Packages,Product Management,Product Configuration
Req,DLR,3.1,3.11,Party,Provide the user the ability to associate a sales contract to an existing product.,Party Management,
Req,DLR,3.1,4.05,Offer,Provide the user the ability to add individual or pre-bundled products to an order or package.,Order Management,Add Individual Products
Req,DLR,3.1,5.06,Sales Management,Provide an interface that allows the user to administer sales contracts in order to appropriately fulfill sales orders.,Order Management,Manage Sales Orders
Sub,DLR,3.2,Sub-Scenario 3.2 (DAvailMan1.2),,Check active package availability,,
Req,DLR,3.2,4.06,Offer,Provide an interface that allows a user to locate product availability.,Order Management,Search Product Availability
Sub,DLR,3.3,Sub-Scenario 3.3 (DBookMan1.3),,"Book 4th night free Package for direct consumer, includes park ticket",,
Req,DLR,3.3,1.36,Product,"Provide the user with a product offering lookup / search function to look up product offerings based on a range of characteristics (i.e. product offering name, product association, etc).",Order Management,Product Offer
Req,DLR,3.3,4.01,Offer,Provide an accessible interface that allows the ability to search availability based on guest preferences or parameters.,Inventory Management,Search Availability based on Guest Preferences or Parameters
